frame,latency_ms,cpu_avg,cpu_max,freq_avg,ram_used,throttle_count
100,134.19,85.72,100.00,2400.00,0.9619,0
101,134.84,89.36,100.00,2400.00,0.9618,0
102,133.11,86.14,100.00,2400.00,0.9621,0
103,133.02,88.42,100.00,2400.00,0.9635,0
104,139.50,85.60,100.00,2400.00,0.9632,0
105,137.81,92.00,100.00,2400.00,0.9631,0
106,132.00,88.78,100.00,2400.00,0.9597,0
107,139.25,83.30,100.00,2400.00,0.9598,0
108,142.62,95.34,100.00,2400.00,0.9595,0
109,132.73,88.10,100.00,2400.00,0.9597,0
110,132.96,89.48,100.00,2400.00,0.9623,0
111,134.58,88.00,100.00,2400.00,0.9648,0
112,143.97,89.75,100.00,2400.00,0.9595,0
113,132.90,79.46,100.00,2400.00,0.9595,0
114,138.54,89.36,100.00,2400.00,0.9599,0
115,133.85,87.54,100.00,2400.00,0.96,0
116,139.34,88.06,100.00,2400.00,0.9591,0
117,144.56,87.60,100.00,2400.00,0.9586,0
118,131.01,82.52,100.00,2400.00,0.9579,0
119,136.93,89.64,100.00,2400.00,0.9579,0
120,146.57,87.96,100.00,2400.00,0.9573,0
121,143.33,91.34,100.00,2400.00,0.9577,0
122,137.25,91.34,100.00,2400.00,0.9577,0
123,133.84,88.32,100.00,2400.00,0.9585,0
124,133.63,88.36,100.00,2400.00,0.9583,0
125,146.48,86.76,100.00,2400.00,0.958,0
126,142.25,93.04,100.00,2400.00,0.9582,0
127,137.66,91.86,100.00,2400.00,0.9584,0
128,130.65,90.32,100.00,2400.00,0.9586,0
129,135.20,89.22,100.00,2400.00,0.9595,0
130,139.29,85.76,100.00,2400.00,0.9576,0
131,141.51,93.58,100.00,2400.00,0.9587,0
132,135.15,84.50,100.00,2400.00,0.9576,0
133,141.45,88.84,100.00,2400.00,0.9582,0
134,124.37,94.80,100.00,2400.00,0.9573,0
135,134.75,86.78,100.00,2400.00,0.9577,0
136,132.09,85.54,100.00,2400.00,0.9551,0
137,147.70,91.82,100.00,2400.00,0.9551,0
138,140.99,87.04,100.00,2400.00,0.9579,0
139,127.76,90.00,100.00,2400.00,0.9579,0
140,139.66,86.92,100.00,2400.00,0.9577,0
141,139.72,90.80,100.00,2400.00,0.9583,0
142,138.08,90.14,100.00,2400.00,0.9566,0
143,138.46,89.60,100.00,2400.00,0.9568,0
144,124.89,93.00,100.00,2400.00,0.9564,0
145,142.45,81.08,100.00,2400.00,0.9564,0
146,139.80,89.38,100.00,2400.00,0.9563,0
147,136.65,88.58,100.00,2400.00,0.956,0
148,138.13,89.12,100.00,2400.00,0.9562,0
149,131.79,88.66,100.00,2400.00,0.9565,0
150,138.96,85.76,100.00,2400.00,0.9556,0
151,144.32,94.06,100.00,2400.00,0.957,0
152,142.87,91.18,100.00,2400.00,0.955,0
153,145.54,95.74,100.00,2400.00,0.9552,0
154,129.34,86.74,100.00,2400.00,0.9561,0
155,136.52,88.02,100.00,2400.00,0.9562,0
156,139.56,89.36,100.00,2400.00,0.9569,0
157,140.90,89.84,100.00,2400.00,0.9576,0
158,144.96,86.90,100.00,2400.00,0.9577,0
159,140.95,90.14,100.00,2400.00,0.9589,0
160,141.10,88.90,100.00,2400.00,0.9583,0
161,138.01,92.04,100.00,2400.00,0.9586,0
162,132.02,89.56,100.00,2400.00,0.9568,0
163,141.86,89.14,100.00,2400.00,0.9571,0
164,143.77,89.64,100.00,2400.00,0.9621,0
165,143.05,90.55,100.00,2400.00,0.9621,0
166,131.71,83.18,100.00,2400.00,0.9595,0
167,137.55,90.64,100.00,2400.00,0.9596,0
168,131.33,89.76,100.00,2400.00,0.9573,0
169,133.83,90.46,100.00,2400.00,0.9579,0
170,136.38,87.54,100.00,2400.00,0.9566,0
171,142.22,88.84,100.00,2400.00,0.9559,0
172,130.41,91.42,100.00,2400.00,0.9539,0
173,149.80,88.42,100.00,2400.00,0.955,0
174,131.57,84.80,100.00,2400.00,0.9547,0
175,135.63,92.72,100.00,2400.00,0.9535,0
176,139.85,84.02,100.00,2400.00,0.9538,0
177,127.19,91.64,100.00,2400.00,0.9561,0
178,139.74,83.60,100.00,2400.00,0.9534,0
179,142.97,94.53,100.00,2400.00,0.9534,0
180,131.12,83.66,100.00,2400.00,0.9517,0
181,133.15,85.90,100.00,2400.00,0.9521,0
182,137.27,89.14,100.00,2400.00,0.9542,0
183,144.10,86.88,100.00,2400.00,0.9542,0
184,142.84,89.24,100.00,2400.00,0.9544,0
185,128.60,86.66,100.00,2400.00,0.9543,0
186,143.51,86.36,100.00,2400.00,0.9536,0
187,142.54,93.56,100.00,2400.00,0.9536,0
188,139.19,93.36,100.00,2400.00,0.9533,0
189,136.20,94.54,100.00,2400.00,0.9534,0
190,132.66,89.44,100.00,2400.00,0.9563,0
191,147.81,89.14,100.00,2400.00,0.9559,0
192,144.95,92.55,100.00,2400.00,0.956,0
193,139.29,82.50,100.00,2400.00,0.9577,0
194,135.13,89.36,100.00,2400.00,0.9554,0
195,133.26,86.90,100.00,2400.00,0.9565,0
196,142.70,84.18,100.00,2400.00,0.9562,0
